"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"BZ1","1","Buzzer",,,,,"${EXCLUDE_FROM_POS_FILES}","Buzzer_Beeper:Buzzer_12x9.5RM7.6",
"J1","1","Conn_01x08_Pin",,,,,"${EXCLUDE_FROM_POS_FILES}","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",
"SW1,SW2,SW3,SW4","4","SW_Push",,,,,"${EXCLUDE_FROM_POS_FILES}","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",
"U1","1","XIAO-ESP32-C3-SMD",,,,,"${EXCLUDE_FROM_POS_FILES}","Seeed_Studio_XIAO_Series:XIAO-ESP32-C3-DIP",
,12,MX-Style Keyboard Switches,,,,,,,
,1,White Blank DSA Keycaps,,,,,,,
,1,2.25in TFT Screen,,,,,,,
,1,3.3V Piezo Buzzer,,,,,,,
,1,2.54mm 8 Pin Male Header,,,,,,,
,8,20cm Female-Female Jumper Wires ,,,,,,,
,4,M3x5x4 Heatset Inserts,,,,,,,
,4,M3x8mm Screws,,,,,,,
